country,latitude,longitude,charging_points
2,46.211882,-119.177569,1
2,46.176854,-119.18505,1
2,46.176532,-119.185521,1
2,46.102077,-123.20109,1
2,46.0772456,-94.352547,1
2,46.071952,-118.330888,1
2,46.07057,-118.33551,1
2,46.0419474685142,-118.3889919195109,1
2,45.97629,-94.84961,1
2,45.857927,-123.54582,1
2,45.846938,-122.700172,1
2,45.8198903,-122.6930028,1
2,45.816274,-122.69438,1
2,45.76627,-119.20593,1
2,45.72073726977073,-122.6625944336779,1
2,45.717808,-111.073401,1
2,45.70904228072622,-111.06334884569,1
2,45.7061916,-122.6491162,1
2,45.688554,-123.883685,1
2,45.688311,-123.88388,1
2,45.684134,-122.625365,1
2,45.664999,-121.8964,1
2,45.662605,-122.661779,1
2,45.65076606584955,-122.6677253876455,1
2,45.637126,-122.600435,1
2,45.632994,-89.431294,1
2,45.632913,-89.431305,1
2,45.632629,-122.535748,1
2,45.62255991528888,-122.6747282914441,1
2,45.605705,-122.471396,1
2,45.603935,-122.471441,1
2,45.596561,-122.975536,1
2,45.5927974472668,-95.91979296958924,1
2,45.575471,-117.53646,1
2,45.571778,-122.7096279,1
2,45.5706898,-122.7098898,1
2,45.5572099,-122.7069676,1
2,45.5531983,-122.4891453,1
2,45.5530141,-122.4892407,1
2,45.54777685599385,-94.20273301832428,1
2,45.547071,-94.195252,1
2,45.53294947,-122.4437537,1
2,45.5303388,-122.4822571,1
2,45.526698,-122.730326,1
2,45.5266811,-122.6807356,1
2,45.5264725,-122.6738201,1
2,45.52426763868756,-122.6928511183432,1
2,45.523643,-122.93163,1
2,45.5185873,-123.0564274,1
2,45.518547,-123.057334,1
2,45.5177277,-123.0555228,1
2,45.5164946,-123.0566848,1
