model year,make,model,electric vehicle type,vehicle_count
2021,AUDI,A7 E,Plug-in Hybrid Electric Vehicle (PHEV),10
2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),266
2021,AUDI,E-TRON SPORTBACK,Battery Electric Vehicle (BEV),93
2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),342
2021,BENTLEY,BENTAYGA,Plug-in Hybrid Electric Vehicle (PHEV),1
2021,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),83
2021,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),39
2021,BMW,745E,Plug-in Hybrid Electric Vehicle (PHEV),3
2021,BMW,I3,Battery Electric Vehicle (BEV),46
2021,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),15
2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),263
2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),325
2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),686
2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),504
2021,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),54
2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),877
2021,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),24
2021,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),27
2021,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV),26
2021,HYUNDAI,KONA,Battery Electric Vehicle (BEV),270
2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),682
2021,KIA,NIRO,Battery Electric Vehicle (BEV),62
2021,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),31
2021,LAND ROVER,RANGE ROVER,Plug-in Hybrid Electric Vehicle (PHEV),2
2021,LAND ROVER,RANGE ROVER SPORT,Plug-in Hybrid Electric Vehicle (PHEV),8
2021,LINCOLN,AVIATOR,Plug-in Hybrid Electric Vehicle (PHEV),49
2021,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),3
2021,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),13
2021,MINI,HARDTOP,Battery Electric Vehicle (BEV),117
2021,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),8
2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),677
2021,POLESTAR,PS2,Battery Electric Vehicle (BEV),194
2021,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),35
